camera,vaga,estado,confianca,cobertura,instante
PUCPR,1,livre,0.0,0.0,2026-09-24T02:21:07.355-03:00
PUCPR,10,livre,0.0,0.0,2026-09-24T02:21:07.355-03:00
PUCPR,100,livre,0.0,0.0,2026-09-24T02:21:07.355-03:00
PUCPR,11,livre,0.0,0.0,2026-09-24T02:21:07.355-03:00
PUCPR,12,livre,0.0,0.0,2026-09-24T02:21:07.355-03:00
PUCPR,13,livre,0.0,0.0,2026-09-24T02:21:07.355-03:00
PUCPR,14,livre,0.0,0.0,2026-09-24T02:21:07.355-03:00
PUCPR,15,livre,0.0,0.0,2026-09-24T02:21:07.355-03:00
PUCPR,16,livre,0.0,0.0,2026-09-24T02:21:07.355-03:00
PUCPR,17,livre,0.0,0.0,2026-09-24T02:21:07.355-03:00
PUCPR,18,livre,0.0,0.0,2026-09-24T02:21:07.355-03:00
PUCPR,19,livre,0.0,0.0,2026-09-24T02:21:07.355-03:00
PUCPR,2,livre,0.0,0.0,2026-09-24T02:21:07.355-03:00
PUCPR,20,livre,0.0,0.0,2026-09-24T02:21:07.355-03:00
PUCPR,21,livre,0.0,0.0,2026-09-24T02:21:07.355-03:00
PUCPR,22,livre,0.0,0.0,2026-09-24T02:21:07.355-03:00
PUCPR,23,livre,0.0,0.0,2026-09-24T02:21:07.355-03:00
PUCPR,24,livre,0.0,0.0,2026-09-24T02:21:07.355-03:00
PUCPR,25,livre,0.0,0.0,2026-09-24T02:21:07.355-03:00
PUCPR,26,livre,0.0,0.0,2026-09-24T02:21:07.355-03:00
PUCPR,27,livre,0.0,0.0,2026-09-24T02:21:07.355-03:00
PUCPR,28,livre,0.0,0.0,2026-09-24T02:21:07.355-03:00
PUCPR,29,livre,0.0,0.0,2026-09-24T02:21:07.355-03:00
PUCPR,3,livre,0.0,0.0,2026-09-24T02:21:07.355-03:00
PUCPR,30,livre,0.0,0.0,2026-09-24T02:21:07.355-03:00
PUCPR,31,livre,0.0,0.0,2026-09-24T02:21:07.355-03:00
PUCPR,32,livre,0.0,0.0,2026-09-24T02:21:07.355-03:00
PUCPR,33,livre,0.0,0.0,2026-09-24T02:21:07.355-03:00
PUCPR,34,livre,0.0,0.0,2026-09-24T02:21:07.355-03:00
PUCPR,35,livre,0.0,0.0,2026-09-24T02:21:07.355-03:00
PUCPR,36,livre,0.0,0.0,2026-09-24T02:21:07.355-03:00
PUCPR,37,livre,0.0,0.0,2026-09-24T02:21:07.355-03:00
PUCPR,38,livre,0.0,0.0,2026-09-24T02:21:07.355-03:00
PUCPR,39,livre,0.0,0.0,2026-09-24T02:21:07.355-03:00
PUCPR,4,livre,0.0,0.0,2026-09-24T02:21:07.355-03:00
PUCPR,40,livre,0.0,0.0,2026-09-24T02:21:07.355-03:00
PUCPR,41,livre,0.0,0.0,2026-09-24T02:21:07.355-03:00
PUCPR,42,livre,0.0,0.0,2026-09-24T02:21:07.355-03:00
PUCPR,43,livre,0.0,0.0,2026-09-24T02:21:07.355-03:00
PUCPR,44,livre,0.0,0.0,2026-09-24T02:21:07.355-03:00
PUCPR,45,livre,0.0,0.0,2026-09-24T02:21:07.355-03:00
PUCPR,46,livre,0.0,0.0,2026-09-24T02:21:07.355-03:00
PUCPR,47,livre,0.0,0.0,2026-09-24T02:21:07.355-03:00
PUCPR,48,livre,0.0,0.0,2026-09-24T02:21:07.355-03:00
PUCPR,49,livre,0.0,0.0,2026-09-24T02:21:07.355-03:00
PUCPR,5,livre,0.0,0.0,2026-09-24T02:21:07.355-03:00
PUCPR,50,livre,0.0,0.0,2026-09-24T02:21:07.355-03:00
PUCPR,51,livre,0.0,0.0,2026-09-24T02:21:07.355-03:00
PUCPR,52,livre,0.0,0.0,2026-09-24T02:21:07.355-03:00
PUCPR,53,livre,0.0,0.0,2026-09-24T02:21:07.355-03:00
PUCPR,54,livre,0.0,0.0,2026-09-24T02:21:07.355-03:00
PUCPR,55,livre,0.0,0.0,2026-09-24T02:21:07.355-03:00
PUCPR,56,livre,0.0,0.0,2026-09-24T02:21:07.355-03:00
PUCPR,57,livre,0.0,0.0,2026-09-24T02:21:07.355-03:00
PUCPR,58,livre,0.0,0.0,2026-09-24T02:21:07.355-03:00
PUCPR,59,livre,0.0,0.0,2026-09-24T02:21:07.355-03:00
PUCPR,6,livre,0.0,0.0,2026-09-24T02:21:07.355-03:00
PUCPR,60,livre,0.0,0.0,2026-09-24T02:21:07.355-03:00
PUCPR,61,livre,0.0,0.0,2026-09-24T02:21:07.355-03:00
PUCPR,62,livre,0.0,0.0,2026-09-24T02:21:07.355-03:00
PUCPR,63,livre,0.0,0.0,2026-09-24T02:21:07.355-03:00
PUCPR,64,livre,0.0,0.0,2026-09-24T02:21:07.355-03:00
PUCPR,65,livre,0.0,0.0,2026-09-24T02:21:07.355-03:00
PUCPR,66,livre,0.0,0.0,2026-09-24T02:21:07.355-03:00
PUCPR,67,livre,0.0,0.0,2026-09-24T02:21:07.355-03:00
PUCPR,68,livre,0.0,0.0,2026-09-24T02:21:07.355-03:00
PUCPR,69,livre,0.0,0.0,2026-09-24T02:21:07.355-03:00
PUCPR,7,livre,0.0,0.0,2026-09-24T02:21:07.355-03:00
PUCPR,70,livre,0.0,0.0,2026-09-24T02:21:07.355-03:00
PUCPR,71,livre,0.0,0.0,2026-09-24T02:21:07.355-03:00
PUCPR,72,livre,0.0,0.0,2026-09-24T02:21:07.355-03:00
PUCPR,73,livre,0.0,0.0,2026-09-24T02:21:07.355-03:00
