camera,vaga,estado,confianca,cobertura,instante
PUCPR,1,livre,0.9244321584701538,0.7001826717598675,2026-09-24T02:21:39.145-03:00
PUCPR,10,livre,0.938113808631897,0.8438255754069088,2026-09-24T02:21:39.145-03:00
PUCPR,100,livre,0.9345113039016724,0.8883259439992826,2026-09-24T02:21:39.145-03:00
PUCPR,11,livre,0.9204790592193604,0.8895855897463899,2026-09-24T02:21:39.145-03:00
PUCPR,12,livre,0.9292963147163391,0.8882926331905479,2026-09-24T02:21:39.145-03:00
PUCPR,13,livre,0.9391392469406128,0.8705983447412798,2026-09-24T02:21:39.145-03:00
PUCPR,14,livre,0.937857985496521,0.9344852682283207,2026-09-24T02:21:39.145-03:00
PUCPR,15,livre,0.9459956884384155,0.9300344022659836,2026-09-24T02:21:39.145-03:00
PUCPR,16,livre,0.9483423829078674,0.7842072163835323,2026-09-24T02:21:39.145-03:00
PUCPR,17,livre,0.9246513247489929,0.7990959979591093,2026-09-24T02:21:39.145-03:00
PUCPR,18,livre,0.926230251789093,0.8750901193049903,2026-09-24T02:21:39.145-03:00
PUCPR,19,livre,0.9243952035903931,0.8816153847893008,2026-09-24T02:21:39.145-03:00
PUCPR,2,livre,0.9522312879562378,0.6858906967917313,2026-09-24T02:21:39.145-03:00
PUCPR,20,livre,0.9154964685440063,0.8535492510726436,2026-09-24T02:21:39.145-03:00
PUCPR,21,livre,0.9425515532493591,0.8061462863106122,2026-09-24T02:21:39.145-03:00
PUCPR,22,livre,0.9526695609092712,0.746557861873224,2026-09-24T02:21:39.145-03:00
PUCPR,23,livre,0.8808920383453369,0.6106587579491408,2026-09-24T02:21:39.145-03:00
PUCPR,24,livre,0.9481496214866638,0.6177659546987513,2026-09-24T02:21:39.145-03:00
PUCPR,25,livre,0.9463506937026978,0.632089233988545,2026-09-24T02:21:39.145-03:00
PUCPR,26,livre,0.9527551531791687,0.7169115105535406,2026-09-24T02:21:39.145-03:00
PUCPR,27,livre,0.9058262705802917,0.6550137069801766,2026-09-24T02:21:39.145-03:00
PUCPR,28,livre,0.9681383371353149,0.7777888238336923,2026-09-24T02:21:39.145-03:00
PUCPR,29,livre,0.9341272115707397,0.754164636642915,2026-09-24T02:21:39.145-03:00
PUCPR,3,livre,0.9527915120124817,0.6756237266898674,2026-09-24T02:21:39.145-03:00
PUCPR,30,livre,0.960534930229187,0.780214468183568,2026-09-24T02:21:39.145-03:00
PUCPR,31,livre,0.9454216361045837,0.8152070279200243,2026-09-24T02:21:39.145-03:00
PUCPR,32,livre,0.942359983921051,0.8049023806886761,2026-09-24T02:21:39.145-03:00
PUCPR,33,livre,0.9598654508590698,0.8512917654451713,2026-09-24T02:21:39.145-03:00
PUCPR,34,livre,0.9358586072921753,0.8901609421758665,2026-09-24T02:21:39.145-03:00
PUCPR,35,livre,0.9387195110321045,0.8698971779812406,2026-09-24T02:21:39.145-03:00
PUCPR,36,livre,0.9367175102233887,0.9037127195951035,2026-09-24T02:21:39.145-03:00
PUCPR,37,livre,0.9520702362060547,0.8921823599740512,2026-09-24T02:21:39.145-03:00
PUCPR,38,livre,0.921132504940033,0.8573298769830324,2026-09-24T02:21:39.145-03:00
PUCPR,39,livre,0.9321028590202332,0.8745302004828758,2026-09-24T02:21:39.145-03:00
PUCPR,4,livre,0.9366843700408936,0.7340356026620259,2026-09-24T02:21:39.145-03:00
PUCPR,40,livre,0.9352613687515259,0.81875234874595,2026-09-24T02:21:39.145-03:00
PUCPR,41,livre,0.9429547786712646,0.7869001960412453,2026-09-24T02:21:39.145-03:00
PUCPR,42,livre,0.9534180760383606,0.77262561106613,2026-09-24T02:21:39.145-03:00
PUCPR,43,livre,0.9317057728767395,0.7522764648718612,2026-09-24T02:21:39.145-03:00
PUCPR,44,livre,0.9454517960548401,0.7428200673323796,2026-09-24T02:21:39.145-03:00
PUCPR,45,livre,0.9186317324638367,0.6743803270682593,2026-09-24T02:21:39.145-03:00
PUCPR,46,livre,0.9364226460456848,0.6798153070580668,2026-09-24T02:21:39.145-03:00
PUCPR,47,livre,0.9507611989974976,0.6662710395870255,2026-09-24T02:21:39.145-03:00
PUCPR,48,livre,0.9347934126853943,0.694993807241112,2026-09-24T02:21:39.145-03:00
PUCPR,49,livre,0.9523167610168457,0.723189340844145,2026-09-24T02:21:39.145-03:00
PUCPR,5,livre,0.928425133228302,0.6750364759651761,2026-09-24T02:21:39.145-03:00
PUCPR,50,livre,0.9299924373626709,0.7780764637453057,2026-09-24T02:21:39.145-03:00
PUCPR,51,livre,0.9448004364967346,0.670970902527121,2026-09-24T02:21:39.145-03:00
PUCPR,52,livre,0.9496890306472778,0.7184757391176866,2026-09-24T02:21:39.145-03:00
PUCPR,53,livre,0.9344605207443237,0.7048191702347348,2026-09-24T02:21:39.145-03:00
PUCPR,54,livre,0.9072956442832947,0.8336902143173394,2026-09-24T02:21:39.145-03:00
PUCPR,55,livre,0.9230481386184692,0.8454181376427683,2026-09-24T02:21:39.145-03:00
PUCPR,56,livre,0.923911988735199,0.8496752910022565,2026-09-24T02:21:39.145-03:00
PUCPR,57,livre,0.8973898887634277,0.8622656739735636,2026-09-24T02:21:39.145-03:00
PUCPR,58,livre,0.921809732913971,0.8549999249430625,2026-09-24T02:21:39.145-03:00
PUCPR,59,livre,0.9349967837333679,0.8575261065299588,2026-09-24T02:21:39.145-03:00
PUCPR,6,livre,0.9539728760719299,0.7164400095794545,2026-09-24T02:21:39.145-03:00
PUCPR,60,livre,0.9130471348762512,0.8601532507660716,2026-09-24T02:21:39.145-03:00
PUCPR,61,livre,0.940679132938385,0.8386629364746886,2026-09-24T02:21:39.145-03:00
PUCPR,62,livre,0.9539904594421387,0.8095457200273372,2026-09-24T02:21:39.145-03:00
PUCPR,63,livre,0.9728508591651917,0.8123002486193848,2026-09-24T02:21:39.145-03:00
PUCPR,64,livre,0.9625551104545593,0.8143073450075863,2026-09-24T02:21:39.145-03:00
PUCPR,65,livre,0.9698305130004883,0.809836489084603,2026-09-24T02:21:39.145-03:00
PUCPR,66,livre,0.9485835433006287,0.7186599963605901,2026-09-24T02:21:39.145-03:00
PUCPR,67,livre,0.9211635589599609,0.5616918914449354,2026-09-24T02:21:39.145-03:00
PUCPR,68,livre,0.9272640347480774,0.6578721577984035,2026-09-24T02:21:39.145-03:00
PUCPR,69,livre,0.9401135444641113,0.7331488495092933,2026-09-24T02:21:39.145-03:00
PUCPR,7,livre,0.9348336458206177,0.8171219899645106,2026-09-24T02:21:39.145-03:00
PUCPR,70,livre,0.9393956661224365,0.7235083660809543,2026-09-24T02:21:39.145-03:00
PUCPR,71,livre,0.9237504005432129,0.6356453380381323,2026-09-24T02:21:39.145-03:00
PUCPR,72,ocupada,0.9149590134620667,0.7235745025114567,2026-09-24T02:21:39.145-03:00
PUCPR,73,livre,0.9330736398696899,0.7950501504024344,2026-09-24T02:21:39.145-03:00
PUCPR,74,livre,0.9314689040184021,0.7105701291187971,2026-09-24T02:21:39.145-03:00
PUCPR,75,livre,0.9540392756462097,0.7172701059101904,2026-09-24T02:21:39.145-03:00
PUCPR,76,livre,0.9573315382003784,0.7624303011709456,2026-09-24T02:21:39.145-03:00
PUCPR,77,livre,0.942060112953186,0.8935300175243038,2026-09-24T02:21:39.145-03:00
PUCPR,78,livre,0.9442750215530396,0.7483918021488788,2026-09-24T02:21:39.145-03:00
PUCPR,79,livre,0.945722222328186,0.8501995421984498,2026-09-24T02:21:39.145-03:00
PUCPR,8,livre,0.9382948279380798,0.8373835799671685,2026-09-24T02:21:39.145-03:00
PUCPR,80,livre,0.9156285524368286,0.8571553753769494,2026-09-24T02:21:39.145-03:00
PUCPR,81,livre,0.9423860311508179,0.9024668203916022,2026-09-24T02:21:39.145-03:00
PUCPR,82,livre,0.9134926199913025,0.8703887583469887,2026-09-24T02:21:39.145-03:00
PUCPR,83,livre,0.9317635893821716,0.8129194706647273,2026-09-24T02:21:39.145-03:00
PUCPR,84,livre,0.9590986967086792,0.784388941483998,2026-09-24T02:21:39.145-03:00
PUCPR,85,livre,0.9294637441635132,0.7537194309876148,2026-09-24T02:21:39.145-03:00
PUCPR,86,livre,0.9391975402832031,0.7224964277194851,2026-09-24T02:21:39.145-03:00
PUCPR,87,livre,0.9225919246673584,0.6538900021612546,2026-09-24T02:21:39.145-03:00
PUCPR,88,livre,0.9396055936813354,0.6397377423501628,2026-09-24T02:21:39.145-03:00
PUCPR,89,livre,0.9389285445213318,0.5902641612615115,2026-09-24T02:21:39.145-03:00
PUCPR,9,livre,0.9242423176765442,0.8482045116541221,2026-09-24T02:21:39.145-03:00
PUCPR,90,livre,0.9475986957550049,0.6973273083416748,2026-09-24T02:21:39.145-03:00
PUCPR,91,livre,0.9579134583473206,0.6852120284896491,2026-09-24T02:21:39.145-03:00
PUCPR,92,livre,0.9345539808273315,0.6794859581040379,2026-09-24T02:21:39.145-03:00
PUCPR,93,livre,0.9475885033607483,0.7002765447829475,2026-09-24T02:21:39.145-03:00
PUCPR,94,livre,0.944270670413971,0.7478410046006275,2026-09-24T02:21:39.145-03:00
PUCPR,95,livre,0.9470512866973877,0.8248354897868321,2026-09-24T02:21:39.145-03:00
PUCPR,96,livre,0.947421669960022,0.7549227655283074,2026-09-24T02:21:39.145-03:00
PUCPR,97,livre,0.935223400592804,0.7690411629629857,2026-09-24T02:21:39.145-03:00
PUCPR,98,livre,0.958267331123352,0.8273991619280942,2026-09-24T02:21:39.145-03:00
PUCPR,99,livre,0.9485976099967957,0.8699285588646009,2026-09-24T02:21:39.145-03:00
PUCPR,1,livre,0.9267581701278687,0.6808216211005738,2026-09-24T02:21:39.243-03:00
PUCPR,10,livre,0.9387925267219543,0.8521407613434063,2026-09-24T02:21:39.243-03:00
PUCPR,100,livre,0.9345685839653015,0.880971541255471,2026-09-24T02:21:39.243-03:00
PUCPR,11,livre,0.9287885427474976,0.8928757470353347,2026-09-24T02:21:39.243-03:00
PUCPR,12,livre,0.9259039163589478,0.8833155936666311,2026-09-24T02:21:39.243-03:00
PUCPR,13,livre,0.9285941123962402,0.8863415173038502,2026-09-24T02:21:39.243-03:00
PUCPR,14,livre,0.9386615753173828,0.9322035550178189,2026-09-24T02:21:39.243-03:00
PUCPR,15,livre,0.9509431719779968,0.9179819001266858,2026-09-24T02:21:39.243-03:00
PUCPR,16,livre,0.9356955885887146,0.8042597197758444,2026-09-24T02:21:39.243-03:00
PUCPR,17,livre,0.919155478477478,0.7940443248074521,2026-09-24T02:21:39.243-03:00
PUCPR,18,livre,0.9278635382652283,0.8787917179642162,2026-09-24T02:21:39.243-03:00
PUCPR,19,livre,0.9146631360054016,0.9197417646344505,2026-09-24T02:21:39.243-03:00
PUCPR,2,livre,0.9588826894760132,0.7042728340750947,2026-09-24T02:21:39.243-03:00
PUCPR,20,livre,0.9182723760604858,0.8300690980975055,2026-09-24T02:21:39.243-03:00
PUCPR,21,livre,0.9410622119903564,0.8161798152362625,2026-09-24T02:21:39.243-03:00
PUCPR,22,livre,0.9516668319702148,0.7811998904994544,2026-09-24T02:21:39.243-03:00
PUCPR,23,livre,0.9427334070205688,0.6030688063243657,2026-09-24T02:21:39.243-03:00
PUCPR,24,livre,0.9368960857391357,0.6145759791474894,2026-09-24T02:21:39.243-03:00
PUCPR,25,livre,0.9450758099555969,0.6277921744635484,2026-09-24T02:21:39.243-03:00
PUCPR,26,livre,0.9498062133789062,0.7026446736161189,2026-09-24T02:21:39.243-03:00
PUCPR,27,livre,0.9184331893920898,0.6753807420261699,2026-09-24T02:21:39.243-03:00
PUCPR,28,livre,0.9512230753898621,0.7578507022619091,2026-09-24T02:21:39.243-03:00
PUCPR,29,livre,0.9297118782997131,0.7681854158297715,2026-09-24T02:21:39.243-03:00
PUCPR,3,livre,0.9506898522377014,0.6675566664657298,2026-09-24T02:21:39.243-03:00
PUCPR,30,livre,0.9454938769340515,0.7757331565485291,2026-09-24T02:21:39.243-03:00
PUCPR,31,livre,0.9367330074310303,0.7889291957553499,2026-09-24T02:21:39.243-03:00
PUCPR,32,livre,0.9580499529838562,0.7911991250202454,2026-09-24T02:21:39.243-03:00
PUCPR,33,livre,0.9483317732810974,0.8315117853924882,2026-09-24T02:21:39.243-03:00
PUCPR,34,livre,0.9348514676094055,0.8678057260501431,2026-09-24T02:21:39.243-03:00
PUCPR,35,livre,0.9483048319816589,0.8664244073098076,2026-09-24T02:21:39.243-03:00
PUCPR,36,livre,0.9474310874938965,0.9129011986646691,2026-09-24T02:21:39.243-03:00
PUCPR,37,livre,0.9679102301597595,0.8932694098430328,2026-09-24T02:21:39.243-03:00
PUCPR,38,livre,0.9428396821022034,0.8689205076842571,2026-09-24T02:21:39.243-03:00
PUCPR,39,livre,0.9346045851707458,0.8970550027616467,2026-09-24T02:21:39.243-03:00
PUCPR,4,livre,0.9318584203720093,0.709533464172003,2026-09-24T02:21:39.243-03:00
